,Avg T,Min T,Climate Zone,PLZ,Place,Lat,Lng
369,9.0,-12,1,25421,Pinneberg,53.6466311,9.7859847
370,6.8,-12,6,66953,Pirmasens,49.2049969,7.6042103
371,6.3,-14,10,1796,Pirna,50.9397088,13.967150899999998
372,6.3,-16,10,8523,Plauen,50.4979145,12.1139095
373,6.8,-12,6,58840,Plettenberg,51.2197462,7.8590561
374,7.9,-14,13,91224,Pommelsbrunn,49.5046681,11.5091641
375,8.1,-10,5,50668,Porz,50.948573100000004,6.9629492
376,9.5,-14,4,14467,Potsdam,52.39976910000001,13.0665558
377,9.5,-14,4,17291,Prenzlau,53.319398899999996,13.872478099999999
378,9.5,-14,4,6484,Quedlinburg,51.81207449999999,11.1357179
379,8.5,-12,3,25712,Quickborn (Ditmarschen),54.00258050000001,9.239481
380,9.5,-14,4,1445,Radebeul,51.1115439,13.643318099999998
381,6.8,-12,6,42477,Radevormwald,51.20943889999999,7.3720815
382,10.2,-12,12,76437,Rastatt,48.862603,8.176967900000001
383,9.5,-14,4,14712,Rathenow,52.60767190000001,12.3264353
384,8.1,-10,5,40878,Ratingen,51.29644329999999,6.8506277
385,7.9,-14,13,88212,Ravensburg,47.7837629,9.6151647
386,8.1,-10,5,45657,Recklinghausen,51.616497700000004,7.189557600000001
387,7.9,-16,13,93047,Regensburg,49.01686420000001,12.097408099999999
388,6.3,-16,10,8468,Reichenbach/Vogtl.,50.6203648,12.321797199999999
389,6.8,-12,6,42853,Remscheid,51.1832986,7.179900900000002
390,8.5,-10,3,24768,Rendsburg,54.30633589999999,9.6429685
391,6.8,-16,6,72760,Reutlingen,48.5166976,9.20644
392,8.1,-12,5,48429,Rheine,52.2908515,7.4640650000000015
393,10.2,-10,12,79365,"Rheinhausen, Niederrh.",48.235499299999994,7.7078395
394,8.1,-10,5,41199,Rheydt,51.1329676,6.4449432
395,9.5,-16,4,1587,Riesa,51.3037968,13.2670518
396,8.1,-10,5,50668,Rodenkirchen,50.948573100000004,6.9629492
397,6.8,-12,6,52159,"Rötgen, Eifel",50.646035600000005,6.2003238
398,7.9,-16,13,83022,"Rosenheim, Oberbay",47.8532062,12.131280300000002
399,8.4,-10,2,18055,Rostock,54.083894900000004,12.1666436
400,7.9,-14,13,91541,Rothenburg ob der Tauber,49.379494799999996,10.1858968
401,6.3,-14,10,7407,Rudolstadt,50.732817,11.328707199999998
402,6.8,-12,6,65428,Rüsselsheim,49.9901899,8.432798199999999
